,Date(UTC),ETHPerDay,NetworkDifficulty[TH/s],ETHPriceUSD,TotalBlocks,PowerCoast,Inflação,Multiple_GPUPrice,R$_DollarPrice,ETHPriceBRL,R$_GPUPrice,ETH/dia,USD_Revenue,USD_Coast,USD_Profit/day,USD_Profit/month,Indicador,Multiple_Difficulty/LastDifficulty,USD_GPUPrice,Pays_itself/months,Date
25,2015-08-24,27333.28125,5.179,1.24,5184.0,0.600839,0.6751,,3.5488,4.400512,234.5280841529906,3.483291296582352,15.328265150106198,2.0188190400000003,13.309446110106197,399.28338330318593,0.13170564445683625,0.0005223817744337545,66.0865881855812,0.5873725127572051,2015-08-24
26,2015-08-25,26736.09375,5.173,1.17,5097.0,0.600839,0.6751,,3.5339,4.134663,234.5280841529906,3.469363233987494,14.344647797128433,2.0188190400000003,12.325828757128432,369.774862713853,0.14073674506000317,0.0005217765821868723,66.36522939330219,0.634245612132045,2015-08-25
27,2015-08-26,26137.96875,5.587,1.16,5003.0,0.600839,0.6751,,3.632,4.21312,234.5280841529906,3.199422454993086,13.47955073358047,2.0188190400000003,11.46073169358047,343.8219508074141,0.14976901529593908,0.0005635348472217389,64.57271039454587,0.6821207418614103,2015-08-26
28,2015-08-27,24532.8125,5.925,1.13,4708.0,0.600839,0.6751,,3.5549,4.017036999999999,234.5280841529906,3.0090642375487993,12.087522377610314,2.0188190400000003,10.068703337610314,302.0611001283094,0.16701677787496413,0.0005976273437960986,65.97318747446921,0.7764259749215237,2015-08-27
29,2015-08-28,24225.15625,6.251,1.3,4653.0,0.600839,0.6751,,3.5784,4.65192,234.5280841529906,2.849659458741921,13.256387829310714,2.0188190400000003,11.237568789310714,337.1270636793214,0.1522902819376077,0.0006305094558766942,65.5399296202187,0.6956667364328722,2015-08-28
30,2015-08-29,22525.0,6.658,1.18,4329.0,0.600839,0.6751,,3.5784,4.222511999999999,234.5280841529906,2.6738827003170655,11.29050178868121,2.0188190400000003,9.27168274868121,278.1504824604363,0.17880684825043627,0.0006715616632901983,65.5399296202187,0.8431697909650382,2015-08-29
31,2015-08-30,21453.59375,6.781,1.32,4155.0,0.600839,0.6751,,3.5784,4.723488,234.5280841529906,2.6052188292090293,12.305719877142899,2.0188190400000003,10.286900837142898,308.60702511428696,0.16405533850561882,0.0006839681043512818,65.5399296202187,0.759957049150574,2015-08-30
32,2015-08-31,21293.4375,7.214,1.35,4122.0,0.600839,0.6751,,3.6461,4.922235000000001,234.5280841529906,2.450025363104008,12.059600593158258,2.0188190400000003,10.040781553158258,301.2234465947477,0.16740347446874249,0.0007276428115012753,64.32299831408645,0.7785850895880425,2015-08-31
33,2015-09-01,20342.96875,7.641,1.35,3938.0,0.600839,0.6751,,3.6719,4.957065,234.5280841529906,2.3131156602246485,11.466264680251497,2.0188190400000003,9.447445640251496,283.4233692075449,0.17606597233683605,0.0007707123264043865,63.87104337073194,0.8274832269785442,2015-09-01
34,2015-09-02,18387.34375,8.284,1.29,3577.0,0.600839,0.6751,,3.7307,4.812603,234.5280841529906,2.1230923882355306,10.217600796899479,2.0188190400000003,8.198781756899479,245.96345270698436,0.19758249320257346,0.0008355687621952543,62.864364369418766,0.9535078548128177,2015-09-02
